document_size,736,736,SILVA_UNITYSIZE.psd
LayerSet,Silva_takeapart,0
HEAD,39,33,138,99,1
EARTIP,433,288,489,342,1
EAR,210,7,397,178,1
FRONTPAW,138,680,191,712,1
FOREARM,255,464,373,525,1
BICEP,223,387,278,460,1
BACKPAW,421,593,501,631,1
BACKLEG,358,367,439,441,1
THIGH,25,295,154,399,1
BACK,210,227,436,333,1
CHEST,25,150,151,257,1
1,564,41,673,178,1
2,587,140,678,184,1
3,564,223,717,301,1
4,551,320,717,387,1
5,533,408,717,472,1
6,521,497,724,567,1
7,525,592,721,631,1
TAILTIP,527,629,699,703,1
EARTIP_copy,445,200,501,254,1
EAR_copy,377,13,564,184,1
BACKPAW_copy_2,314,548,394,586,1
BACKLEG_copy_2,398,440,479,514,1
THIGH_copy_2,292,618,421,722,1
FRONTPAW_copy,46,608,99,640,1
FOREARM_copy,172,557,290,618,1
BICEP_copy,65,467,120,540,1
